,Respondent,Geographic Areas,State,Number of Customers Affected,Outage Start,Outage End
295,City of Washington - (NC),North Carolina,NC ,12000.0,2012-12-31 14:21:00,2012-12-31 16:30:00
296,Town of Stantonsburg - (NC),"Stantonsburg, North Carolina",NC ,1200.0,2012-12-26 14:50:00,2012-12-26 19:40:00
297,CenterPoint Energy,"Houston, Texas",TX TX ,262000.0,2012-12-25 09:28:00,2012-12-26 16:28:00
298,Entergy,Arkansas; Louisiana; Mississippi; Texas,AR LA MS TX ,242509.0,2012-12-25 00:45:00,2012-12-28 16:15:00
299,Tacoma Power (TPWR),"Tacoma, Washington",WA ,0.0,2012-12-17 06:55:00,2012-12-17 07:00:00
300,California Department of Water Resources,"Greater San Jose, California",CA CA ,,2012-12-06 21:18:00,2012-12-06 21:31:00
301,Tacoma Power (TPWR),"Tacoma, Washington",WA ,0.0,2012-12-03 12:02:00,2012-12-03 12:30:00
302,Pacific Gas & Electric Co,Northern California,CA ,125000.0,2012-12-02 05:20:00,2012-12-04 09:00:00
303,ISO New England,New Hampshire,NH ,0.0,2012-11-27 13:07:00,2012-11-27 13:40:00
304,Delmarva Power & Light Company,"Georgetown, Delaware",DE ,,2012-11-26 15:07:00,2012-11-26 15:08:00
305,Delmarva Power & Light Company,"Frankfort, Delaware",DE ,0.0,2012-11-26 12:37:00,2012-11-26 12:38:00
306,Delmarva Power & Light Company,"Bethany Beach, Delaware",DE ,,2012-11-21 14:50:00,2012-11-21 14:51:00
307,ERCOT,"Comanche Peak, Texas",TX ,0.0,2012-11-17 10:00:00,2012-11-18 10:00:00
308,ITC Transmission,Iowa; Michigan,IA MI ,,2012-11-15 21:09:00,2012-11-15 21:26:00
309,ISO New England,Southeast Massachusetts,MA ,0.0,2012-11-15 05:38:00,2012-11-15 05:39:00
310,Delmarva Power & Light Company,"Bishopville, Maryland",MD ,0.0,2012-11-08 09:34:00,2012-11-08 09:35:00
311,ISO New England,New Hampshire,NH ,0.0,2012-11-07 14:21:00,2012-11-07 14:48:00
312,ISO New England,"Concord, Vermont",VT ,0.0,2012-11-02 09:30:00,2012-11-02 12:10:00
313,Detroit Edison Co,Greater Detroit Michigan,MI MI ,133777.0,2012-10-30 02:00:00,2012-11-01 22:00:00
314,Black Hills/Colorado Elec.Util,"Pueblo, Colorado",CO ,,2012-10-30 15:00:00,2012-10-30 15:01:00
315,ISO New England,"Fitzwilliam, New Hampshire",NH ,0.0,2012-10-30 13:20:00,2012-10-30 13:25:00
316,Potomac Electric Power Company (PEPCO),"Hyattsville, Maryland",MD ,0.0,2012-10-30 00:00:00,2012-10-30 00:02:00
317,FirstEnergy Corp: Mon Power Company,West Virginia,WV ,208000.0,2012-10-29 00:00:00,2012-11-09 23:59:00
318,FirstEnergy Corp: CEI,Greater Cleveland Ohio,OH OH ,346000.0,2012-10-29 16:00:00,2012-11-05 23:59:00
319,FirstEnergy Corp: Met-Ed,Eastern Pennsylvania,PA ,270000.0,2012-10-29 16:00:00,2012-11-07 23:48:00
320,FirstEnergy Corp: Jersey Central Power & Light,New Jersey,NJ ,217000.0,2012-10-29 12:00:00,2012-11-04 23:00:00
321,Atlantic City Electric Co,New Jersey,NJ ,,2012-10-29 08:00:00,2012-11-04 23:00:00
322,PPL Electric Utilities Corp,Central Pennsylvania,PA ,400000.0,2012-10-29 18:11:00,2012-11-04 22:50:00
