Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State
lovelys7n,2.02101119516672e+16,The power of music: hype you up... calm you down... make you cry... fall in love... let the b*$#ch out... ease your soul! I cant get enough!,3:10 PM - 29 Dec 2010,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1","Retweet
    
      
    
  
  
    
      
      Retweeted",CT
yhemysun,2.0179068695617536e+16,"@DJDeeMoney Hey Oga we still dey wait for ur end of the year mixtapes, more power to ur mixers ooh",1:07 PM - 29 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",CT
06040,2.0177682553634816e+16,CL&P nearing goal of restoring all power http://bit.ly/eDUect via http://outside.in/06040,1:01 PM - 29 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",CT
ExtraGum,1.0822761767170662e+18,Take the sticks of Extra Gum (and the compliment)! #GiveExtragetextrapic.twitter.com/MPFKPIuVa6,9:02 AM - 7 Jan 2019,"Like
    
      
    207
  
  
    
      
      
      Liked
    
      
    207","Retweet
    
      
    25
  
  
    
      
      Retweeted
    
      
    25",CT
06040,2.000113507081011e+16,Winter storm playing havoc with sports teams http://bit.ly/i5iAzp via http://outside.in/06040,1:20 AM - 29 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",CT
06040,2.000112049140941e+16,Storm's aftermath http://bit.ly/fImxur via http://outside.in/06040,1:20 AM - 29 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",CT
06010,2.00011193253888e+16,Cockayne: Storm a ‘learning experience’ http://bit.ly/efkLE5 via http://outside.in/06010,1:20 AM - 29 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",CT
topix_ct,1.990457653041971e+16,"Deadly Kleen Energy Blast Still Reverberates In Middletown, Power Industry - http://bit.ly/grHdtn #Middletown #Connecticut",6:56 PM - 28 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",CT
brendanmahoney,1.978293764594483e+16,"@CyclinArchivist it is strange. although, I like the idea that town clerks have a lot of power.",10:53 AM - 28 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",CT
06106,1.9724747034066944e+16,Recovering from the first big storm of winter http://bit.ly/fudWo4 via http://outside.in/06106,7:02 AM - 28 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",CT
