Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State
BOS311,2.0504409091866624e+16,"Closed report at 169-199 Mountfort St, Brookline: http://j.mp/hMdXJR. No mbta bus sign. missing longer than the storm.",10:40 AM - 30 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
BOS311,2.0495310216237056e+16,"Closed report at 157-167 Milk St, Boston: http://j.mp/hsLxIC. Crosswalks still not cleared 3 days after storm. this is just one crosswalk...",10:03 AM - 30 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
pyyhkala,1.9449466910150656e+16,Out about Acton appears not even like a 5 year storm. #snowloco (@ Snowpocalypse 2010 - Boston Edition w/ 67 others) http://4sq.com/i6X8Kg,12:48 PM - 27 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
thepennyhoarder,1.082663648559018e+18,There's a secret bank paying 100x the normal interest rate and their waiting list just opened up...https://bit.ly/2GZcUNG,10:41 AM - 8 Jan 2019,"Like
    
      
    14
  
  
    
      
      
      Liked
    
      
    14","Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",MA
Skeetz8,1.940685536101171e+16,Yoo this storm is #killing niggas. Ain't shit to do,9:58 AM - 27 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    3
  
  
    
      
      Retweeted
    
      
    3",MA
GittleBos,1.8861488219365376e+16,It can and will. RT @RyanPHealey: This snow storm better not mess with my flight or else I am going to be extremely unhappy. #snOMG,9:51 PM - 25 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
davewiller,1.8509623250128896e+16,Merry Christmas from the Fox25 control room where we are tracking the upcoming storm & Santa's progress   #fox25 http://twitpic.com/3jbyj6,10:33 PM - 24 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
timj0,1.3451589704491008e+16,Not psyched for next power outage 2am-7am. This one is planned. Hopefully every system in our building won't fail this time.,11:34 PM - 10 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
Diamondchest,1.194255776009421e+16,"Just close your eyes let me hypnotize you
I can make your storm feel sky blue
Girl when you lost you know I’ll (cont) http://tl.gd/7bljtt",7:38 PM - 6 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
anthonyperryjr,1.0371820741988352e+16,"“@Boston_Police: N-Star is reporting a large power outage affecting Roxbury Traffic lights out, heavy traffic..” @VeryShortStory weird!!!",11:36 AM - 2 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
jessbidgood,9087151257948160.0,Comcast outage is blowing my mind. Open DNS is like the candle you light during a power outage.,10:32 PM - 28 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
bmenoza,4498748268875777.5,"When I was in college, ""blackout in a can"" meant something different.",6:39 AM - 16 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",MA
thomdunn,3195671200923648.0,Ready? Which obscure X-Men character did I accidentally dress identical to today? (hint: it's not Storm),4:21 PM - 12 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
_BostonMA,1926202369511424.0,minor coastal flooding likely… .an early season coastal storm will combine with high astronomical tides to yield areas o… http://j.mp/bFDh1y,4:16 AM - 9 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
amymengel,26745047985.0,"An all-day internet marketing workshop with no tables, no power outlets and no WiFi? #futurem (@ Cambridge Innovation Center w/ 6 others)",7:47 AM - 8 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",MA
