Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State
NickiinNC,1.937533994795008e+16,@Brooklyn_1012 I hate to say this but that is funny.  I know what it is like but not this storm. Just ugly wind in Binghamton.,7:53 AM - 27 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
caseysbrninrubr,1.9233055751274496e+16,feeling a little left out Big storm in the east but not in my part of NY.,10:28 PM - 26 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
NickiinNC,1.903216508588032e+16,@RunRideInspire Good morning! Hope you have lots of shovels to get you through the storm.,9:09 AM - 26 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
CarnivalCruise,1.0686176663891026e+18,Taking dinner and a show to a whole new level. #ChooseFun #Carnival,4:28 PM - 30 Nov 2018,"Like
    
      
    122
  
  
    
      
      
      Liked
    
      
    122","Retweet
    
      
    19
  
  
    
      
      Retweeted
    
      
    19",ME
NickiinNC,1.901457774425293e+16,@CoffeesCommutes Had a great day! Now wondering just how much snow we will end up with. Basically on the edge of the upcoming storm.,8:00 AM - 26 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
dominicmauro,1.883205214509875e+16,"@alpopp it isn't snowing yet. I hear there's a blizzard warning there. I doubt the storm will hit hard here. Totally jealous, though.",7:54 PM - 25 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
13904,1.024155007215616e+16,Storm Hits Chenango County http://bit.ly/f7348g via http://outside.in/13904,2:59 AM - 2 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
13904,5530180227440640.0,Jarvis St. to Close Friday for Storm Sewer Upgrade http://bit.ly/cDXdkZ via http://outside.in/13904,2:57 AM - 19 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
A_Taker,29307383286.0,We get back to New York and immediately hit a rain storm. Now it's lightly snowing.,3:20 PM - 31 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
jakattacks,24618824982.0,RT: dills appearance blackout style... Now making a start.“@kkstyle: @jaki_goldner Dillingers appearance or wrong person?”,7:44 PM - 15 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
13905,1.0241551389167616e+16,Storm Hits Chenango County http://bit.ly/gn2Iy0 via http://outside.in/13905,2:59 AM - 2 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
13905,5530179422130176.0,Jarvis St. to Close Friday for Storm Sewer Upgrade http://bit.ly/bF5L2t via http://outside.in/13905,2:57 AM - 19 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",ME
