Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State
colinjones,24794645828,"Video of my street, Lincoln Place, after yesterdays storm. RT @WNYC: A tree falls in Brooklyn: watch the video! http://ow.ly/2G4et”",4:52 PM - 17 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
keltonlynn,20565563919040512,"And I thought the flights getting into the heart of the storm were bad... The driving is even worse (wait, that's normal NYC I guess)",2:43 PM - 30 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
christinaallen,19998710079422464,"Virgin JFK to SFO canceled tonight. Reasonable, re: storm. NOT reasonable: canceled 3 hours before, no alert, and NO flight until 5 JAN.",1:10 AM - 29 Dec 2010,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
NYSOASAS,1078030231611543552,Do you become fixated on thoughts of playing the lottery? Turn to the lottery when you feel angry or upset? Often lie about your lottery habits? NYS gambling addiction services can help.,3:50 PM - 26 Dec 2018,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
JNez,19801393267216384,this snowstorm cleanup response is no joke. political careers have crashed in nyc as a result of the mayor's office response to a storm,12:06 PM - 28 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",NY
eishahs_,19239995223056384,It's a whiteout outside. So thankful for mass public transit.,10:55 PM - 26 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",NY
Blessedon_Aug1,19236050505302016,#iprefer being stuck with someone during this storm than being alone. .,10:40 PM - 26 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",NY
jspry,19187479257030656,It's a whiteout here in NYC,7:27 PM - 26 Dec 2010,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
lena_moss,17567791783612416,Sitting on a train with no power!! So much for getting to stamford early. (@ Metro North - Pelham Train Station) http://4sq.com/e5bZmY,8:11 AM - 22 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
RossSheingold,17305337153454080,"@nynjpaweather Not looking like a Christmas storm anymore though, right?",2:48 PM - 21 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",NY
RossSheingold,17302494216462336,@nynjpaweather I need to hear your take on the 12z Euro!  It seems like this storm keeps getting pushed back. Soon it will be a NYE storm!,2:36 PM - 21 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",NY
djdirect84,16883045097279489,Da storm is kuming jan. @djantnyce and @djdirect84 we hitting hard da only place to worm up is at a club with us lol  http://myloc.me/fuTu0,10:50 AM - 20 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",NY
djdirect84,16220519116316673,Ok I just saw da news and its a nother blizzared worning @clublegends 2night wit @djantnyce @djdirect84 we bringing da storm tonight b ready,2:57 PM - 18 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",NY
alexandrak,15591918830358528,I hate it when you're supposed to meet some one but they're in an iPhone blackout area.,9:19 PM - 16 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",NY
Foxmental_X,9995473930682368,Its official! Umbrellas in NYC during a rain storm are about as useful as a condom made of Swiss cheese during an orgy. #Miserable >_<,10:41 AM - 1 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",NY
iAmBrianRogers,9184849805967360,watching Rex Manning as a hunter in Dragon Storm on SyFy....I love you 5am,5:00 AM - 29 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",NY
AZellWill,28969487187,Blackout. On the page and in my mind.,3:20 AM - 28 Oct 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",NY
threeminuterule,25261605396,"If I die in this storm, at least the last song I heard was ""stereo"" and the guy yelling for someone to put umbrella away. #pavement #sglued",7:53 PM - 22 Sep 2010,"Like
    
      
    1
  
  
    
      
      
      Liked
    
      
    1","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
colinjones,24700928031,"Wow, lots of downed trees on my street from that wicked NYC storm.  http://twitpic.com/2p2kir http://twitpic.com/2p2khr",5:00 PM - 16 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",NY
DavidQ_NYC,20614085464821760,Lost in the Ozone...: Deputy Mayor Stephen Goldsmith and His Flaky Ideas Doom New York During Storm - NY Daily News http://goo.gl/5BoUt,5:55 PM - 30 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
cyclones01,20132237114613760,snowpack acceptable on a Himalayan trail is quite a bit less so on Marlborough Road in Brooklyn two days after a storm http://nyti.ms/eoBQlM,10:01 AM - 29 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
RobbieFingers,19974767297691648,The snowplow just got to my block two days after the storm and did a half-assed job. Now there's only a foot of snow instead of two feet.,11:35 PM - 28 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
Vanguard_Group,1082653152401252352,Spend time making money – not worrying about it.,10:00 AM - 8 Jan 2019,"Like
    
      
    26
  
  
    
      
      
      Liked
    
      
    26","Retweet
    
      
    7
  
  
    
      
      Retweeted
    
      
    7",NY
enoogs,19403067682197504,No Ftrain means no special CharNo4 brunch w @ethanmcc here's a pic from char after last years storm http://yfrog.com/gyr5bvtj,9:43 AM - 27 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
andrewdkeller,19158790255419393,storm resulted in the easiest reservation at minetta tavern ever. now debating whether to brave the blizzard for a black label burger.,5:33 PM - 26 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
IAM1NYC,6546278565543937,I love being near the power of the storm and breathing the ion charged air after lightning surges! To me it's (cont) http://tl.gd/73hjd2,10:15 PM - 21 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
glemak,1645500860207104,#nyc interesting skyline over the hudson prior to storm  http://flic.kr/p/8RPPYY,9:41 AM - 8 Nov 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",NY
StuffHipstersH8,25265237607,Ran in here for respite from storm. Group is screaming and riding mechanical bull. Kill me. (@ Viva Toro w/ 2 others) http://4sq.com/c32Gbm,8:35 PM - 22 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
newyorkphoto,25233075243,'After The Storm' by @cassandrabridal is the photo of the day for New York City. http://j.mp/bAO4QG #nyc Vote tomorrow's: http://j.mp/bVF3CM,1:01 PM - 22 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
newyorkphoto,25201437862,'After The Storm' by @cassandrabridal is the photo of the day for New York City. http://j.mp/bAO4QG #nyc,6:01 AM - 22 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
spencerreynolds,25073136517,My wife just danced up a storm!  Gotta post that video!!! (@ Playwright Irish Pub w/ 2 others) http://4sq.com/6ZK8l2,7:39 PM - 20 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
meetcha,25038276379,"The Perfect Storm of a POD at The Half King in Chelsea! Come talk books, authors, and best sellers on Sep. 30. http://bit.ly/9UjCrQ",11:12 AM - 20 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
Apple,1082460889863913474,Furniture shopping without leaving your home: the new iPad Pro and Augmented Reality help you create the perfect space.,9:16 PM - 7 Jan 2019,"Like
    
      
    4
  
  
    
      
      
      Liked
    
      
    4","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
vinochic,24880766146,Power outage shmower outage! Just went to nine west outlet in secaucus and got buy 1 get 1 @ 50% off on current season items!,4:25 PM - 18 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
marisagreen,24798064852,"Out of the way, but sizeable. No power outlets to be found, though. :( (@ United Red Carpet Club) http://4sq.com/5CsymB",5:46 PM - 17 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
topix_nj,24788818579,"Fierce storm takes toll on Bayonne, downing trees and wires and damaging chemical tanks - http://bit.ly/b24SxE #Bayonne #NewJersey",3:17 PM - 17 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
eveinthecity,24713289349,"My first time in 6 years, stuck in the traffic after short thunder storm...cwaaazzyyy...can somebody tell me ... http://tmi.me/1saL7",7:53 PM - 16 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
not_ur_avg_guy,24713130082,"Stuck in NYC with no way of getting home since the storm suspended most, if not all, LIRR service... Guess its time to eat and drink...",7:51 PM - 16 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
Hyoobaloinz,24707621342,"Aftermath of a crazy flash storm in Brooklyn. Up on the 7th floor, H2O pouring in from all sides, window shakes.  http://twitpic.com/2p3bfx",6:36 PM - 16 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
douglaswalter,24707469523,Trees down everywhere lights & sirens up & down the street. People still out on the street talking about the storm. The slope is a mess.,6:33 PM - 16 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
RaymondMcCrea,24705322930,"Julian and I just watched the entire""tornado"" storm from the window. He kept saying ""wowee!""",6:04 PM - 16 Sep 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",NY
