Screen Name,Status ID,Text,Local Timestamp,Likes,Retweets,State
ErikMoses_,1.1082616857960448e+16,@MorganhooverX lol yeah in winter storm 5 lol but i think i got some,10:41 AM - 4 Dec 2010,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
MEGScolli,1.5194671511988634e+17,"Ford makes it, power stroke shakes it. Shake shake ;)",3:44 AM - 28 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
NICK_E_STEEZ,1.495938606019502e+17,Do you idiots not understand that every time the gov't shuts down a coal power plant your energy bills go up?,3:55 PM - 21 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
MrObveeus,1.4804774643421184e+17,@dwfaust A couple of years ago I warned by daughter of an impending power outage in the game room. She thought it was a bluff. Shoulda saved,9:31 AM - 17 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
LinkedIn,1.08208761903752e+18,"Aaron wanted a job that would let him pursue his passion for helping others. With the help of a hiring manager who found his profile on LinkedIn, Aaron found that opportunity. Find your next job on LinkedIn: https://lnkd.in/g_8wpjd  #InItTogetherpic.twitter.com/hpEoZWjcR0",8:32 PM - 6 Jan 2019,"Like
    
      
    445
  
  
    
      
      
      Liked
    
      
    445","Retweet
    
      
    67
  
  
    
      
      Retweeted
    
      
    67",VT
ldavidptl,1.472790600730583e+17,"""...Blessing and honor and glory and power  Be  to Him who sits on the throne, And to the Lamb, forever and ever!""Rev.5:13 JESUS lives!",6:37 AM - 15 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
ldavidptl,1.4727792742643712e+17,"""...Worthy is the Lamb who was slain To receive power and riches and wisdom, And strength and honor and glory and blessing!"" Rev.5:12",6:32 AM - 15 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
ldavidptl,1.4655601725631693e+17,"You are worthy, O Lord, To receive glory and honor and power; For You created all things, And by Your will they exist and were createdRev411",6:44 AM - 13 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
ldavidptl,1.4507055786662707e+17,"""For God has not given us a spirit of fear, but of power and of love and of a sound mind."" 2 Timothy 1:7 power / love / sound mind - TGBTG",4:21 AM - 9 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
ldavidptl,1.443614320567296e+17,Breaking News - Jesus breaks the power of cancelled sin! Confess - Repent - Restore - Forgive - Love and live free from Satan's captivity.,5:23 AM - 7 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
ldavidptl,1.4237767028875264e+17,Pray for one another. Be strong in the LORD and the power of His might. Put your trust in Jesus Christ. Pray continuously and with gratitude,6:00 PM - 1 Dec 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
ldavidptl,1.4200360453709414e+17,"@DukeEnergy need power at 11525 E 100 S in Greentown, IN 46936.",5:14 PM - 30 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
MrPowersBelt,1.4172191918667366e+17,How many Hicks does it take to fix a power outage?? Apparently not enough!,10:35 PM - 29 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
Kyle_Mundell,1.4172163911621427e+17,"Well, the power is back on... What to do now. How about eat a bunch of food.",10:34 PM - 29 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
_madychristiane,1.4171722949761434e+17,"I wonder if ""I didn't have power"" is a good excuse for not doing my homework. I mean .. My power hasn't gone out but still -.-",10:16 PM - 29 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
AdamG_27,1.417121059078226e+17,@mandala22 no we got power but it was dimming in and out all night,9:56 PM - 29 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
Zthieke,1.4170763669235302e+17,Without power! #dangweather lol,9:38 PM - 29 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
TheQueenBMILLER,1.4169480896302285e+17,The power may be out but I got Netflix on my phone #winnjng,8:47 PM - 29 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
Southern_Cowgrl,1.416576725576663e+17,@DrDirty_bitch1 I came home to no power and I don't even have my truck=(,6:19 PM - 29 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
Southern_Cowgrl,1.4165718204220211e+17,@DrDirty_bitch1 this sucks lol I want my power back too!!,6:17 PM - 29 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
Kyle_Mundell,1.4164688636386509e+17,"Well, power's out. I guess I'll throw my makeshift head lamp on.",5:37 PM - 29 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
GetIndDesigJobs,1.3711546077585408e+17,"Power Electronics Mecha... - #Kokomo , IN (http://tinyurl.com/7pefkhu ) Get Industrial Design Jobs #IndustrialDesign #jobs #job #GetAllJobs",5:30 AM - 17 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
KokomoIN,1.3672963932120678e+17,special weather statement national weather service jackson ms 216 am cst wed nov 16 2011 ...storm exhibiting some ro... http://j.mp/tMVQ7o,3:57 AM - 16 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
My_CarWashKing,1.364576202728448e+17,Anybody get caught in the storm last night and receive any hail damage? Come on by and receive a free paint less dent removal quote today,9:56 AM - 15 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    1
  
  
    
      
      Retweeted
    
      
    1",VT
sofiapotato,1.3624821755687731e+17,each pokemon to understand the power that's inside,8:04 PM - 14 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
Vanguard_Group,1.0826531512310129e+18,Make the most of your earnings,10:00 AM - 8 Jan 2019,"Like
    
      
    11
  
  
    
      
      
      Liked
    
      
    11","Retweet
    
      
    2
  
  
    
      
      Retweeted
    
      
    2",VT
TheQueenBMILLER,1.362103293560914e+17,Idk why everyone is freaking out about this storm?! I'd rather it rain then snow!,5:34 PM - 14 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
janellebarton7,1.3620452910761574e+17,So hate this storm right now,5:11 PM - 14 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
Kyle_Mundell,1.3587728248827085e+17,"Next time this happens, I am having an apocalypse party. So, head to my house if you hear about power outages.",7:30 PM - 13 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
Kyle_Mundell,1.3579246421580595e+17,I love when the power goes out. Seriously... I do.,1:53 PM - 13 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
AdamG_27,1.347011775804375e+17,"@CrashLogic it's barely even flurries here, by the time it gets east it will probably be a giant storm, at least that's how e rain worked",1:37 PM - 10 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
AdamG_27,1.3469895271186842e+17,"Cool I've had my iPod on playing music for an hour and a half and it's already at half power, is there ever gonna be an update?",1:28 PM - 10 Nov 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
_Kayijuana,1.301068137052242e+17,"""@XSTROLOGY: For #Scorpio, knowledge is power.""",9:20 PM - 28 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
iGoRilllaa,1.2924682796177818e+17,Power is the ability to be in control ..,12:23 PM - 26 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
_SydneySharae_,1.2682155385697075e+17,My shows won't record with the power out :/,7:46 PM - 19 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
_SydneySharae_,1.2681354766463795e+17,No power means no heat...we gon freeze,7:14 PM - 19 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
_SydneySharae_,1.268110284146729e+17,Sooooo the power just went out,7:04 PM - 19 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
OG_reezy,1.2542696993967309e+17,Power,11:24 PM - 15 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
PolaBearLaflare,1.2390082104905728e+17,"Puffin purple hash, welcome to my power circle!",6:20 PM - 11 Oct 2011,"Like
    
      
    
  
  
    
      
      
      Liked","Retweet
    
      
    
  
  
    
      
      Retweeted",VT
