Utility Company,EIA Utility Id,Twitter Handle,Facebook Page,Outage Phone Number,Outage Map URL,Phone Number,Web Site
3 Phases Energy Services,21093,,,310.939.1283,,310.939.1283,http://3phasesrenewables.com/index.htm
4-County Electric Power Assn,6641,@4CountyElectric,https://www.facebook.com/4CountyElectric,(800) 431-1544,http://outages.4county.org:8181/,(800) 431-1544,http://www.4county.org/
A & N Electric Coop (Virginia),84,,https://www.facebook.com/ANElectricCoop,"757-787-9750, 800-431-2632",,"757-787-9750, 800-431-2632",http://www.anec.com/
AEP Generating Company,343,@AEPnews,https://www.facebook.com/americanelectricpower,800-277-2177,https://www.aepaccount.com/zipr/StormsAndOutages/Default.aspx,,http://www.aep.com
AEP Ohio,4062,@AEPOhio,https://www.facebook.com/AEPOhio,1-800-672-2231,https://www.aepohio.com/outages/report/,,https://www.aepohio.com
AEP Texas Central Company,3278,@aeptexas,https://www.facebook.com/AEPTexas,866-223-8508,https://aeptexas.com/outages/outageMap.aspx,,https://www.aeptexas.com
AEP Texas North Company,20404,@AEPTexas,https://www.facebook.com/AEPTexas,1-877-373-4858,https://www.aeptexas.com/outages/outageMap.aspx,1-877-373-4858,https://www.aeptexas.com
AES Eastern Energy LP,134,@TheAESCorp,,703-522-1315,,703-522-1315,http://www.aes.com/home/default.aspx
AGC Division of APG Inc,261,,,,,,
AP Holdings LLC,56571,,,,,,
AP Holdings LLC (New York),56571,,,,,,
"APN Starfirst, L.P.",50153,,,(877) 977-2636,,(877) 977-2636,http://www.americanpowernet.com/
"APN Starfirst, L.P. (Illinois)",50153,,,(877) 977-2636,,(877) 977-2636,http://www.americanpowernet.com/index.html
"APN Starfirst, L.P. (Ohio)",50153,,,(877) 977-2636 or (610) 372-8500,,(877) 977-2636 or (610) 372-8500,http://www.americanpowernet.com/
"APN Starfirst, L.P. (Texas)",50153,,,877-977-2636,,877-977-2636,https://www.puc.texas.gov/industry/electric/directories/rep/report_rep.aspx?ID=ELSQL01DB1245303300004
APNA Energy,55841,@apnaenergy,https://mbasic.facebook.com/home.php?_rdr,(713) 270-5333,,(713) 270-5333,http://www.apnaenergy.com/
ARCO Products Co-Watson,867,,https://www.facebook.com/pages/Watson-Cogeneration/159391947415069,(310) 816-8100,,(310) 816-8100,
"Accent Energy Holdings, LLC",54872,@igsenergy,https://www.facebook.com/pages/IGS-Energy,,,,http://www.igsenergy.com/accent/
"Accent Energy Holdings, LLC (New York)",54872,@igsenergy,https://www.facebook.com/pages/IGS-Energy/227847043919251,888-995-0992 or 877-923-4447 or 877-275-8197,,888-995-0992 or 877-923-4447 or 877-275-8197,http://www.igsenergy.com/accent/
"Accent Energy Holdings, LLC (Texas)",54872,@igsenergy,https://www.facebook.com/pages/IGS-Energy/227847043919251,Business: 877-923-4447 Residential: 888-995-0992,,Business: 877-923-4447 Residential: 888-995-0992,http://www.igsenergy.com/accent/
Access Energy Coop,16611,,https://www.facebook.com/AccessEnergyCoop,1-800-452-7819 or 319-385-1580,,319-385-1577 or 1-866-242-4232,http://www.accessenergycoop.com/
Adams Electric Coop,97,,https://www.facebook.com/pages/Adams-Outlet/368702569918,(800) 232-4797 or (217) 593-7701,https://www.outageentry.com/CustomerFacingApp/map.php?clientid=ADAMS,217-593-7701,http://www.adamselectric.coop/
Adams Electric Cooperative Inc,40220,@aec_coop,http://www.facebook.com/AdamsEC,800-726-2324,https://ebill.adamsec.com/mapviewer/mapviewer.html?config=Outage%2BWeb%2BMap,888-232-6732,http://www.adamsec.coop/
"Adams Rural Electric Coop, Inc",118,,https://www.facebook.com/adamsruralelectric,1-800-283-1846,,,http://www.adamsrec.com/
Adams-Columbia Electric Coop,108,@ACECWI,https://www.facebook.com/ACECWI,888-928-2232,,800-831-8629,http://www.acecwi.com/
Adrian Public Utilities Comm,150,@mresnews,http://www.facebook.com/Missouri-River-Energy-Services,,,507-483-2680,http://www.mrenergy.com/
Agralite Electric Coop,155,@Agralite,https://www.facebook.com/pages/Agralite-Electric-Cooperative/144866998510,888-884-3887,https://pyxis-oms.com/OutageMap/AgraliteOutageMap.html,800-950-8375,http://www.agralite.coop/
Aguila Irrigation District,737,,,(480) 610-8741,,(480) 610-8741,
"Agway Energy Services, LLC",113,,,1-888-982-4929,,1-888-982-4929,https://www.agwayenergy.com/
Aiken Electric Coop Inc,162,@AikenElectric,https://www.facebook.com/AikenElectricCooperative,1-877-264-5368,,Aiken: 1-800-922-1262; Edgefield: 1-800-290-0413; New Ellenton: 803-652-2226; North Office: 1-800-453-1934,http://www.aikenco-op.org/main/index.php
Aitkin Public Utilities Comm,174,,,763-576-2750,,763-576-2750,http://www.anokaelectric.govoffice3.com/
Ajo Improvement Co,176,,,(520) 387-2001,,(520) 387-5377,
Ak-Chin Electric Utility Authority,25866,,,480-731-9506,,480-731-9506,
Akiachak Native Community Electric Co,192,,,907-825-4626,,907-825-4626,http://ast2.com/akiachak_alaska.htm
Alabama Municipal Elec Authority,40614,,,334.262.1126 or 800.239.2632,,334.262.1126 or 800.239.2632,http://www.amea.com/
Alabama Power Co,195,@AlabamaPower,https://www.facebook.com/AlabamaPower,1-800-888-2726,,1-800-245-2244,http://www.alabamapower.com/
Alamo Power District No 3,191,,,(775) 725-3335,,(775) 725-3335,
Alaska Electric & Energy Coop,49803,@HomerElectric,https://www.facebook.com/homerelectricassociation,1-888-868-8243 or 907-235-8551 or 907-283-5831,http://outage.homerelectric.com/omswebmap/Map/OMSWebMap.htm?clientKey=undefined,1-907-235-3353,http://www.homerelectric.com/
